# time,title
# 基于 examples/皇帝在位时间.csv 制作的日期精度测试版。
# 先覆盖明、南明、清中有较清楚公元日期的在位区间；早期 BCE/仅到年份的条目未放入此测试文件。
# 主要参考 Wikipedia 的 Ming/Qing emperor lists 以及相关单人条目；日期以来源中给出的西历日期记录。
1368-01-23~1398-06-24,明太祖(朱元璋)
1398-06-30~1402-07-13,明惠帝(朱允炆)
1402-07-17~1424-08-12,明成祖(朱棣)
1424-08-12~1425-05-29,明仁宗(朱高炽)
1425-05-29~1435-01-31,明宣宗(朱瞻基)
1435-01-31~1449-09-22,明英宗(朱祁镇·正统)
1449-09-22~1457-02-11,明代宗(朱祁钰)
1457-02-11~1464-02-23,明英宗(朱祁镇·天顺)
1464-02-23~1487-09-09,明宪宗(朱见深)
1487-09-09~1505-06-08,明孝宗(朱佑樘)
1505-06-09~1521-04-20,明武宗(朱厚照)
1521-05-27~1567-01-23,明世宗(朱厚熜)
1567-01-23~1572-07-05,明穆宗(朱载垕)
1572-07-05~1620-08-18,明神宗(朱翊钧)
1620-08-28~1620-09-26,明光宗(朱常洛)
1620-09-26~1627-09-30,明熹宗(朱由校)
1627-10-02~1644-04-25,明思宗(朱由检)
1644-06-19~1645-06-15,南明弘光帝(朱由崧)
1645-08-18~1646-10-06,南明隆武帝(朱聿键)
1646-12-11~1647-01-20,南明绍武帝(朱聿𨮁)
1646-12-24~1662-06-01,南明永历帝(朱由榔)
1636-05-15~1643-09-21,清太宗(皇太极)
1644-10-30~1661-02-05,清世祖(顺治帝)
1661-02-05~1722-12-20,清圣祖(康熙帝)
1722-12-27~1735-10-08,清世宗(雍正帝)
1735-10-18~1796-02-09,清高宗(乾隆帝)
1796-02-09~1820-09-02,清仁宗(嘉庆帝)
1820-10-03~1850-02-26,清宣宗(道光帝)
1850-03-09~1861-08-22,清文宗(咸丰帝)
1861-11-11~1875-01-12,清穆宗(同治帝)
1875-02-25~1908-11-14,清德宗(光绪帝)
1908-12-02~1912-02-12,清宣统帝(溥仪)
1917-07-01~1917-07-12,清宣统帝(溥仪·张勋复辟)
